"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"16475",1998,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Chemical","Silty clay","15-15-15","Grade 2",72.99,15.87,218.54,"Grade 1","C","Grade 2",2950.92
"16476",1999,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Silty clay","16-16-16","Grade 3",80.85,77.01,360.09,"Grade 1","B","Grade 2",1700.64
"16477",2000,"Bangladesh","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","LK92-11","130 cm","Organic","Ferus soil","16-16-16","Grade 2",186.23,44.24,390.74,"Grade 1","A","Grade 3",1713.68
"16478",2001,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Organic","Ferus soil","46-0-0","Grade 2",114.16,42.16,485.75,"Grade 1","B","Grade 3",2039.36
"16480",2003,"India","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Silty clay","46-0-0","Grade 2",82.04,45.35,240.2,"Grade 2","A","Grade 1",2638.42
"16481",2004,"Pakistan","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Silty clay","46-0-0","Grade 2",159.87,47.53,289.97,"Grade 1","B","Grade 2",604.39
"16482",2005,"Nepal","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Chemical","Silty clay","16-16-16","Grade 1",92.57,24.58,118.54,"Grade 1","B","Grade 1",2098.82
"16483",2006,"Nepal","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Chemical","Silty clay","15-15-15","Grade 2",152.54,5.49,304.71,"Grade 1","A","Grade 3",2470.98
"16484",2007,"Nepal","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Organic","Loam","16-16-16","Grade 2",179.27,50.64,33.5,"Grade 3","C","Grade 1",2487.56
"16485",2008,"India","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Organic","Loam","25-07-2007","Grade 2",128.73,54.34,167.06,"Grade 2","C","Grade 1",1584.64
"16486",2009,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Chemical","Silty clay","25-07-2007","Grade 1",53.64,15.78,452.05,"Grade 2","A","Grade 3",2740.21
"16490",2013,"Nepal","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Chemical","Silty clay","46-0-0","Grade 2",140.58,34.36,80.48,"Grade 1","B","Grade 3",2106.73
"16492",2015,"Nepal","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Loam","46-0-0","Grade 3",87.45,58.65,397.7,"Grade 2","B","Grade 3",2640.61
"16493",2016,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Ferus soil","15-15-15","Grade 1",77.88,41.71,270.35,"Grade 1","C","Grade 3",2507.23
"16495",2018,"Nepal","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Silty clay","25-07-2007","Grade 2",50.49,75.15,183.43,"Grade 2","C","Grade 3",2985.01
"16496",2019,"Nepal","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Organic","Ferus soil","16-16-16","Grade 2",112.47,73.81,136.98,"Grade 3","C","Grade 1",1684.2
"16498",2021,"Bangladesh","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Ferus soil","16-16-16","Grade 3",115.16,44.92,301.63,"Grade 1","A","Grade 2",2538.58
"16499",2022,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Chemical","Silty clay","15-15-15","Grade 3",157.57,82.24,402.85,"Grade 2","A","Grade 1",2055.19
"16500",2023,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Loam","25-07-2007","Grade 1",137.48,14.76,81.79,"Grade 3","A","Grade 1",2178.11
"16501",1974,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Chemical","Silty clay","16-16-16","Grade 2",78.72,29.53,368.45,"Grade 1","B","Grade 1",2663.98
"16502",1975,"Nepal","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Organic","Loam","16-16-16","Grade 1",107.53,38.15,362.85,"Grade 2","C","Grade 3",1800.21
"16503",1976,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Loam","16-16-16","Grade 1",151.45,28.5,93.32,"Grade 3","C","Grade 2",1961.02
"16504",1977,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Ferus soil","15-15-15","Grade 1",102.72,81.68,41.05,"Grade 2","B","Grade 3",1396.86
"16505",1978,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Organic","Loam","15-15-15","Grade 1",106.81,27.27,90.58,"Grade 2","B","Grade 2",1137.79
"16506",1979,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Chemical","Loam","25-07-2007","Grade 3",111.72,67.23,27.46,"Grade 1","B","Grade 3",1672.71
"16507",1980,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","K99-72","140 cm","Organic","Silty clay","15-15-15","Grade 2",52.13,11.53,42.16,"Grade 3","A","Grade 3",2370.95
"16508",1981,"India","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Chemical","Ferus soil","46-0-0","Grade 3",178.46,69.02,358.29,"Grade 1","C","Grade 2",2717.6
"16509",1982,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Chemical","Ferus soil","46-0-0","Grade 1",133.99,9.23,411.55,"Grade 3","B","Grade 1",2835.03
"16510",1983,"Pakistan","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Ferus soil","46-0-0","Grade 2",101.27,63.79,276.44,"Grade 1","A","Grade 1",2404.04
"16511",1984,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 2","K99-72","140 cm","Chemical","Loam","15-15-15","Grade 1",52.27,64.84,466.59,"Grade 3","B","Grade 1",669.92
"16512",1985,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Chemical","Loam","15-15-15","Grade 1",188.14,16.56,275.66,"Grade 1","C","Grade 3",1075.48
"16514",1987,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Silty clay","46-0-0","Grade 3",156.68,80.75,497.23,"Grade 3","C","Grade 2",2324.69
"16515",1988,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Chemical","Ferus soil","46-0-0","Grade 1",121.82,93.19,219.7,"Grade 1","A","Grade 1",2164.17
"16517",1990,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Loam","15-15-15","Grade 1",130.22,49.02,20.42,"Grade 2","C","Grade 3",1257.52
"16518",1991,"Pakistan","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K84-200","130 cm","Organic","Loam","25-07-2007","Grade 1",83.54,15.62,180.99,"Grade 1","C","Grade 1",686.16
"16519",1992,"Bangladesh","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Silty clay","16-16-16","Grade 2",151.69,57.21,376.32,"Grade 1","C","Grade 1",1426.85
"16520",1993,"Nepal","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Organic","Ferus soil","25-07-2007","Grade 1",118.16,64.3,91.45,"Grade 1","C","Grade 3",856.1
"16522",1995,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Chemical","Ferus soil","46-0-0","Grade 2",153.76,32.06,477.51,"Grade 3","A","Grade 3",1026.77
"16523",1996,"India","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K99-72","120 cm","Organic","Ferus soil","16-16-16","Grade 3",94.16,51.13,332.72,"Grade 2","B","Grade 2",1339.24
"16524",1997,"Pakistan","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Organic","Silty clay","16-16-16","Grade 2",93.76,43.97,491.84,"Grade 3","C","Grade 3",2384.26
"16526",1999,"Nepal","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Organic","Loam","25-07-2007","Grade 1",54.72,42.79,25.3,"Grade 1","A","Grade 2",1676.46
"16527",2000,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K99-72","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",192.27,46.75,321.73,"Grade 3","A","Grade 2",2449.49
"16529",2002,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Organic","Silty clay","46-0-0","Grade 2",87.98,83.98,238.66,"Grade 2","A","Grade 3",1828.65
"16530",2003,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Silty clay","15-15-15","Grade 1",129.34,26.84,165.88,"Grade 1","A","Grade 3",2539.17
"16531",2004,"Nepal","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Organic","Loam","16-16-16","Grade 1",110.82,80.66,49.3,"Grade 1","C","Grade 3",776.53
"16532",2005,"Bangladesh","Rain","Rain","3rd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Organic","Loam","46-0-0","Grade 2",61.11,95.48,231.8,"Grade 2","B","Grade 2",1431.35
"16533",2006,"Pakistan","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Ferus soil","25-07-2007","Grade 3",90.58,95.39,29.46,"Grade 1","B","Grade 2",930.02
"16534",2007,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Organic","Loam","46-0-0","Grade 3",185.61,64.29,37.57,"Grade 3","B","Grade 2",1769.45
"16535",2008,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Organic","Loam","15-15-15","Grade 3",174.39,48.75,312.91,"Grade 3","A","Grade 2",1545.5
"16536",2009,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K84-200","130 cm","Organic","Loam","15-15-15","Grade 2",111.96,39.95,483.33,"Grade 1","B","Grade 2",2976.19
"16537",2010,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Chemical","Silty clay","25-07-2007","Grade 2",56.79,50.81,87.16,"Grade 3","B","Grade 3",1775.37
"16538",2011,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Organic","Silty clay","46-0-0","Grade 1",173.39,6.61,75.18,"Grade 1","B","Grade 2",1538.39
"16539",2012,"Nepal","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","LK92-11","150 cm","Chemical","Silty clay","46-0-0","Grade 3",130.14,8.86,71.66,"Grade 2","A","Grade 1",2872.93
"16540",2013,"Bangladesh","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Chemical","Silty clay","25-07-2007","Grade 2",173.52,98.23,58.32,"Grade 1","C","Grade 2",1564.72
"16541",2014,"Pakistan","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Chemical","Ferus soil","15-15-15","Grade 2",164.09,55.1,74.03,"Grade 3","C","Grade 1",2802.42
"16542",2015,"Pakistan","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Organic","Silty clay","46-0-0","Grade 1",116.8,26.9,55.79,"Grade 3","A","Grade 3",1503.98
"16543",2016,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Loam","16-16-16","Grade 2",160,81.55,449.65,"Grade 1","A","Grade 1",2378.48
"16544",2017,"Nepal","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","K99-72","150 cm","Chemical","Ferus soil","16-16-16","Grade 3",161.85,84.98,18.16,"Grade 3","A","Grade 3",2170.99
"16545",2018,"Nepal","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Organic","Silty clay","16-16-16","Grade 2",143.9,51.34,427.8,"Grade 2","A","Grade 2",1153.69
"16547",2020,"Bangladesh","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Organic","Loam","15-15-15","Grade 3",150.31,40.95,465.68,"Grade 2","C","Grade 2",586.52
"16548",2021,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","K99-72","150 cm","Organic","Loam","15-15-15","Grade 2",98.61,16.73,356.48,"Grade 1","C","Grade 1",1940.44
"16549",2022,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","Khonkean3","150 cm","Organic","Silty clay","16-16-16","Grade 3",194.42,55.72,402.91,"Grade 1","C","Grade 1",1684.36
"16550",2023,"India","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","K84-200","140 cm","Chemical","Loam","16-16-16","Grade 1",59.56,22.47,53.01,"Grade 3","C","Grade 1",1374.24
"16552",1975,"India","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 1","LK92-11","150 cm","Chemical","Silty clay","15-15-15","Grade 3",54.4,71.53,443.13,"Grade 1","B","Grade 1",1849.51
"16553",1976,"Nepal","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Chemical","Ferus soil","25-07-2007","Grade 2",109.2,37.64,446.67,"Grade 3","B","Grade 3",2856.82
"16554",1977,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Chemical","Silty clay","46-0-0","Grade 2",97.08,61.78,461.17,"Grade 2","A","Grade 1",2260.78
"16555",1978,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Organic","Loam","46-0-0","Grade 2",58.63,22.7,61.34,"Grade 1","A","Grade 3",1390.5
"16556",1979,"Bangladesh","Rain","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","130 cm","Chemical","Ferus soil","15-15-15","Grade 3",184.09,41.61,337.76,"Grade 1","A","Grade 2",698.17
"16557",1980,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 1","Khonkean3","130 cm","Chemical","Ferus soil","16-16-16","Grade 3",124.93,38.36,80.14,"Grade 1","B","Grade 3",1945.39
"16558",1981,"Pakistan","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Chemical","Ferus soil","46-0-0","Grade 2",127.63,18.01,409.91,"Grade 1","A","Grade 2",1570.98
"16559",1982,"Nepal","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Silty clay","16-16-16","Grade 1",173.89,36.17,382.61,"Grade 2","C","Grade 3",631.26
"16560",1983,"India","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Organic","Loam","25-07-2007","Grade 1",180.59,18.52,301.12,"Grade 3","A","Grade 2",2635.05
"16561",1984,"Pakistan","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Organic","Silty clay","46-0-0","Grade 2",57.21,8.2,489.91,"Grade 3","C","Grade 1",1124.99
"16562",1985,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Chemical","Loam","16-16-16","Grade 3",73.53,46.13,317.69,"Grade 2","C","Grade 3",1881.83
"16563",1986,"Pakistan","Rain","Rain","2nd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Ferus soil","25-07-2007","Grade 3",98.62,88.42,272.91,"Grade 2","A","Grade 2",864.01
"16564",1987,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Organic","Silty clay","16-16-16","Grade 1",95.45,40.38,226.1,"Grade 1","A","Grade 1",2945.84
"16565",1988,"India","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Organic","Silty clay","16-16-16","Grade 3",146.68,8.94,127.96,"Grade 3","A","Grade 3",2608.98
"16568",1991,"India","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Silty clay","15-15-15","Grade 1",84.2,32.11,258.24,"Grade 3","B","Grade 1",2352.01
"16569",1992,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Organic","Loam","46-0-0","Grade 1",58.05,18.55,409.94,"Grade 2","B","Grade 3",704.96
"16570",1993,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","16-16-16","Grade 2",146.39,88.86,470.04,"Grade 3","C","Grade 3",543.12
"16571",1994,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Loam","25-07-2007","Grade 3",95.74,49.9,153.71,"Grade 1","A","Grade 1",1138.76
"16572",1995,"Pakistan","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Ferus soil","46-0-0","Grade 3",116.27,86.79,26.71,"Grade 1","A","Grade 2",870.92
"16573",1996,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Chemical","Silty clay","46-0-0","Grade 3",108.96,20.43,184.9,"Grade 3","C","Grade 2",796.57
"16574",1997,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Chemical","Loam","25-07-2007","Grade 2",179.46,14.91,295.26,"Grade 2","B","Grade 3",2805.42
"16575",1998,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Chemical","Ferus soil","16-16-16","Grade 1",58.42,31.54,165.95,"Grade 3","C","Grade 2",2685.74
"16576",1999,"Sri Lanka","Rain","Groundwater","1st ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Organic","Ferus soil","15-15-15","Grade 3",93.5,33.03,291.37,"Grade 3","B","Grade 1",1320.52
"16577",2000,"Nepal","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 1",112.56,23.94,461.27,"Grade 1","C","Grade 3",2142.83
"16578",2001,"Nepal","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Chemical","Loam","16-16-16","Grade 1",72.23,17.9,14.05,"Grade 2","C","Grade 2",1098.99
"16580",2003,"Sri Lanka","Rain","Rain","3rd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",55.45,7.22,477.09,"Grade 1","A","Grade 1",597.84
"16583",2006,"Pakistan","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Chemical","Loam","15-15-15","Grade 2",81.54,73.89,359.77,"Grade 3","A","Grade 2",534.58
"16584",2007,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","LK92-11","120 cm","Chemical","Loam","16-16-16","Grade 1",139.88,51.74,112.67,"Grade 2","B","Grade 1",1780.51
"16585",2008,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Organic","Silty clay","25-07-2007","Grade 3",130.71,75.61,344.03,"Grade 3","B","Grade 1",1678.45
"16586",2009,"India","Rain","Rain","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Loam","16-16-16","Grade 2",88.95,44.28,146.4,"Grade 3","A","Grade 1",1127.01
"16587",2010,"India","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","150 cm","Chemical","Silty clay","16-16-16","Grade 1",62.25,34.72,22.02,"Grade 1","C","Grade 2",2454.66
"16588",2011,"Pakistan","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Silty clay","15-15-15","Grade 3",152.29,57.64,110.59,"Grade 3","B","Grade 3",2485.75
"16589",2012,"Pakistan","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","140 cm","Organic","Loam","25-07-2007","Grade 1",77.1,79.76,90.29,"Grade 1","C","Grade 2",2553.23
"16590",2013,"Nepal","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","120 cm","Chemical","Ferus soil","15-15-15","Grade 1",149.86,67.08,309.09,"Grade 3","C","Grade 2",1346.43
"16591",2014,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Silty clay","15-15-15","Grade 3",87.91,41.51,422.55,"Grade 1","C","Grade 3",2774.6
"16592",2015,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Silty clay","16-16-16","Grade 2",53.9,6.71,29.42,"Grade 1","A","Grade 3",2729.72
"16593",2016,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Chemical","Loam","46-0-0","Grade 1",140.27,35.29,450.79,"Grade 2","A","Grade 3",735.53
